title,address,type,educational,workExperience,workTag,salary,salaryMonth,companyTags,hrWork,hrName,pratice,companyTitle,companyAvatar,companyNature,companyStatus,companyPeople,detailUrl,companyUrl,dist
Python 老师,长沙,python,学历不限,经验不限,"[""Python"", ""C/C++"", ""\u8ba1\u7b97\u673a\u76f8\u5173\u4e13\u4e1a""]","[2000, 3000]",0薪,无,招聘者,王女士,0,湖南百变教育科技,"https://img.bosszhipin.com/beijin/icon/894ce6fa7e58d64d57e7f22d2f3a9d18afa7fcceaa24b8ea28f56f1bb14732c0.png?x-oss-process=image/resize,w_100,limit_0",培训/辅导机构,未融资,"[0, 20]",https://www.zhipin.com/job_detail/10b587cb738e6a0e1Xx-3d6-GVdQ.html?lid=2EBrPJKH75C.search.2&securityId=P4SnMi0Nx2yf4-912Q6vUgcu5d1yX-FEjJuGo-8a3QlEOIoD9D54d-TeHJFwu-B5CFDW5QwbWR3UBWaYOII6hmWWqlEao2afaUxPhUSj-w0KVc9dGgJh&sessionId=,https://www.zhipin.com/gongsi/cb9c7570961076e81XZy3dW0Flc~.html,开福区
Python 全栈,深圳,python,本科,1-3年,"[""Python"", ""\u91d1\u878d""]","[20000, 30000]",0薪,无,人事经理,谢女士,0,凝基(上海),"https://img.bosszhipin.com/beijin/app/mobile/normal-0e3f1e4441a21d4874cece3a3d81f0fe.png?x-oss-process=image/resize,w_100,limit_0",计算机硬件,未融资,"[20, 99]",https://www.zhipin.com/job_detail/86390fe85632236b1nJ_0tu_FFJX.html?lid=2EBrPJKH75C.search.3&securityId=Mj_YLPiOLJTGp-G1-ytqKJlgjG02MTcxI2GWGrKXexgfDIoKAghiirjdS-78MFQwndrD-j2fqPz43wPc4QUtWnrH6IL2ac63k_OfjgdBmBXg0BFgHRZE&sessionId=,https://www.zhipin.com/gongsi/18858b3cd8c4a9e01nV_2N69FFA~.html,福田区
Python 工程师,郑州,python,本科,3-5年,"[""\u6570\u636e\u5f00\u53d1"", ""Python"", ""\u8ba1\u7b97\u673a\u76f8\u5173\u4e13\u4e1a""]","[6000, 11000]",13薪,"[""\u9910\u8865"", ""\u4ea4\u901a\u8865\u52a9"", ""\u5e26\u85aa\u5e74\u5047"", ""\u5168\u52e4\u5956"", ""\u4e94\u9669\u4e00\u91d1"", ""\u5b9a\u671f\u4f53\u68c0"", ""\u5e74\u7ec8\u5956"", ""\u5458\u5de5\u65c5\u6e38""]",HR,王女士,0,讯鸟科技,"https://img.bosszhipin.com/beijin/upload/com/workfeel/20210624/2659e671e22b07a91f76c49b7f023a13b5341b09d3821b3cd1c88684b2bfaf4f.jpg?x-oss-process=image/resize,w_100,limit_0",计算机软件,未融资,"[20, 99]",https://www.zhipin.com/job_detail/15b994224b4c0b061XB639q-F1pT.html?lid=2EBrPJKH75C.search.4&securityId=W7mTmCaOMRFGg-31IIEbx4svjzbioy5Anrk1XNspEwBbhLE3SpOS0w8CbVVuPZPfcgAUS6oG31OKxXf95B7_4spIrSQFNI84ABh9ft5cXaHXq7dAZtg~&sessionId=,https://www.zhipin.com/gongsi/ff78ddaa17c4c9141nN-0964FlU~.html,中原区
编程 c++ python,深圳,python,本科,在校/应届,"[""C++"", ""Java"", ""Python""]","[8000, 12000]",0薪,"[""\u5e74\u7ec8\u5956"", ""\u4e94\u9669\u4e00\u91d1"", ""\u5168\u52e4\u5956"", ""\u5458\u5de5\u65c5\u6e38"", ""\u8282\u65e5\u798f\u5229"", ""\u5e26\u85aa\u5e74\u5047""]",老师,余女士,0,网企科技,"https://img.bosszhipin.com/beijin/upload/com/logo/20190517/7b2a6f03f1f448eac56600420d4fad3253efe99c16328e694c72719415d86e1f.png?x-oss-process=image/resize,w_100,limit_0",培训/辅导机构,C轮,"[100, 499]",https://www.zhipin.com/job_detail/ca173fe14ba361981nZz2di-GFFX.html?lid=2EBrPJKH75C.search.5&securityId=l4nbBN_kE5tEW-R1dmNvQTn38syWgApcni3yLn_sZDLH-KtskI5Y_8dYtuLvLwP4_TvrHr0Sad3pdw5p6k1KTuv9-5sNMqjOlu3ZbFSuL7PuyqocZg~~&sessionId=,https://www.zhipin.com/gongsi/6cf359dab73e5df31HV52Nm7Ew~~.html,南山区
Python C++开发,淄博,python,本科,经验不限,"[""\u540e\u7aef"", ""Python"", ""\u8ba1\u7b97\u673a\u76f8\u5173\u4e13\u4e1a""]","[3000, 5000]",0薪,"[""\u5e26\u85aa\u5e74\u5047"", ""\u5e74\u7ec8\u5956"", ""\u4e94\u9669\u4e00\u91d1""]",consultant,于女士,0,里丰科技,"https://img.bosszhipin.com/beijin/upload/com/workfeel/20230425/7bf6f160950405e983686a8e99ed853a7ac9a03750c744e52c27fb1d9b83e3f83345cc3ba7ab1eb7.jpg?x-oss-process=image/resize,w_100,limit_0",电力/热力/燃气/水利,未融资,"[20, 99]",https://www.zhipin.com/job_detail/0c8a1f8aeb623f4b1Xd93tS4GVRX.html?lid=2EBrPJKH75C.search.6&securityId=QDdK2GD0ib4GT-q1kTXTPQCCdLGKQ0hlG92npUy439LqEfi7FkF769E9Cb3RkNnc6kgvzRCG_ETw7Aj3dXP2bQF_Bg_-LKyRx2NUOZRHHviPRV9rUQ~~&sessionId=,https://www.zhipin.com/gongsi/567f1ccbcf02ea6a1XV62d21FVQ~.html,张店区
Python 开发工程师,长沙,python,本科,经验不限,"[""\u540e\u7aef"", ""Python""]","[15000, 30000]",14薪,"[""\u52a0\u73ed\u8865\u52a9"", ""\u4e94\u9669\u4e00\u91d1"", ""\u96f6\u98df\u4e0b\u5348\u8336"", ""\u8865\u5145\u533b\u7597\u4fdd\u9669"", ""\u80a1\u7968\u671f\u6743"", ""\u9910\u8865"", ""\u8282\u65e5\u798f\u5229"", ""\u5e74\u7ec8\u5956"", ""\u5458\u5de5\u65c5\u6e38"", ""\u5b9a\u671f\u4f53\u68c0""]",HR,左先生,0,华为,"https://img.bosszhipin.com/beijin/upload/com/logo/20200429/8f64c9d0b30a53c434b26799ca78966cec9b49ecaf1604cb263748f03d5c2b0f.png?x-oss-process=image/resize,w_100,limit_0",计算机软件,不需要融资,"[0, 10000]",https://www.zhipin.com/job_detail/1ba5ccb9535a8bef1XB80t20EVNX.html?lid=2EBrPJKH75C.search.7&securityId=vBmx7zyeiW9It-e146_-HRaFVhfbvL8K9PcrRExDpb1se65x7tTQvfuWvuh7AnlNDcwGNNWK7QMRSwtUsPLgK_s0dkcqzvCV89_7uGG-_0QTPOY~&sessionId=,https://www.zhipin.com/gongsi/02cd05cce753437e33V50w~~.html,岳麓区
python 中级研发,北京,python,本科,经验不限,"[""Python"", ""Flask"", ""Django"", ""MySQL"", ""Linux\u5f00\u53d1/\u90e8\u7f72\u7ecf\u9a8c""]","[15000, 25000]",0薪,"[""\u56e2\u5efa\u805a\u9910"", ""\u7ee9\u6548\u5956\u91d1"", ""\u4e94\u9669\u4e00\u91d1"", ""\u5e26\u85aa\u5e74\u5047"", ""\u9910\u8865"", ""\u5e95\u85aa\u52a0\u63d0\u6210"", ""\u5e74\u7ec8\u5956"", ""\u80a1\u7968\u671f\u6743""]",招聘主管,李先生,0,雾旗科技,"https://img.bosszhipin.com/beijin/icon/894ce6fa7e58d64d57e7f22d2f3a9d18afa7fcceaa24b8ea28f56f1bb14732c0.png?x-oss-process=image/resize,w_100,limit_0",信息安全,天使轮,"[0, 20]",https://www.zhipin.com/job_detail/8097c85c828db8741HF73tS5ElpQ.html?lid=2EBrPJKH75C.search.8&securityId=SvhDf8AruDwqL-41Ihegfc0at2BpZUMuuwtugd3S7R5xo-jyvV5Jv__YNbiqNdjeEXktxJJ9ACXKrLeQxYHsPzUlnLtC7cNlxXXudXGulhM18N_yE3pkSowdOgF4pbAQtkwUqw3phoLjtMEgN-LJAqw~&sessionId=,https://www.zhipin.com/gongsi/d76fd072776d1fa71HB52N2-FlY~.html,海淀区
python 教师,株洲,python,大专,经验不限,"[""\u4eba\u5de5\u667a\u80fd"", ""\u52a8\u753b\u52a8\u6f2b"", ""\u673a\u5668\u4eba""]","[5000, 8000]",0薪,"[""\u80a1\u7968\u671f\u6743"", ""\u4f4f\u623f\u8865\u8d34"", ""\u5e26\u85aa\u5e74\u5047"", ""\u5e74\u7ec8\u5956"", ""\u5458\u5de5\u65c5\u6e38"", ""\u52a0\u73ed\u8865\u52a9"", ""\u5168\u52e4\u5956"", ""\u8282\u65e5\u798f\u5229"", ""\u4e94\u9669\u4e00\u91d1""]",教学主管,丁女士,0,株洲昕芒,"https://img.bosszhipin.com/beijin/upload/com/logo/20190908/cae16aeb72edc47bf31702aaa7ba7924c691727ff0829634fe55e4ee398292f5.jpg?x-oss-process=image/resize,w_100,limit_0",培训/辅导机构,不需要融资,"[0, 20]",https://www.zhipin.com/job_detail/fbb915ea8f21cd4b1nZ93dm6FlRQ.html?lid=2EBrPJKH75C.search.9&securityId=8knGOUXZJpN2O-c1TZhUS6wbiWdx6UkvqnWatEiQCQX2OSXa6fAApucJdzn0Dh5Pko8GnI-MvmAqeh0oGPiG3YuDoJ0SxIxOKyqy88Dt-cpkPpmLWjI~&sessionId=,https://www.zhipin.com/gongsi/68e3db4bad8b900b0nN80tq6FQ~~.html,天元区
python 后端/算法工程师,杭州,python,本科,1-3年,"[""\u540e\u7aef"", ""\u673a\u5668\u5b66\u4e60/\u7b97\u6cd5\u5de5\u7a0b"", ""Python""]","[12000, 24000]",0薪,"[""\u7ee9\u6548\u5956\u91d1"", ""\u5e74\u7ec8\u5956"", ""\u4e94\u9669\u4e00\u91d1""]",ceo,崔先生,0,硅基未来,"https://img.bosszhipin.com/beijin/upload/com/logo/20230424/7b5b554d84f9729c245f3777b9c4de8671427eb2d5cb5bee58b391685fd61b7d36ae732a06573d02.png?x-oss-process=image/resize,w_100,limit_0",人工智能,天使轮,"[0, 20]",https://www.zhipin.com/job_detail/63dc1009bd3d152f1X1_092_EVZT.html?lid=2EBrPJKH75C.search.10&securityId=dbVAAUtb4qbl6-S1_TXDA_0sBv6yRVSaTLpxS2Zg9rqrYteKVASRPhSToM2dbCvybnzaMR5bNkOkN_IeKV_i34FDUo2j4YqkgXdiW_eNxifm7fVbuIw~&sessionId=,https://www.zhipin.com/gongsi/121afc226071be4b1XJ-09-1E1I~.html,西湖区
python 后端开发,武汉,python,学历不限,经验不限,"[""\u540e\u7aef"", ""Python""]","[10000, 15000]",0薪,"[""\u56e2\u5efa\u805a\u9910"", ""\u52a0\u73ed\u8865\u52a9"", ""\u610f\u5916\u9669"", ""\u4ea4\u901a\u8865\u52a9"", ""\u751f\u65e5\u798f\u5229"", ""\u7ed3\u5a5a\u751f\u5b50\u793c\u91d1"", ""\u5458\u5de5\u65c5\u6e38"", ""\u96f6\u98df\u4e0b\u5348\u8336"", ""\u4e94\u9669\u4e00\u91d1"", ""\u901a\u8baf\u8865\u8d34"", ""\u5168\u52e4\u5956"", ""\u80a1\u7968\u671f\u6743"", ""\u8d85\u957f\u5e74\u504715\u5929"", ""\u514d\u8d39\u6587\u5316\u886b"", ""\u5e74\u7ec8\u5956"", ""\u5b9a\u671f\u4f53\u68c0"", ""\u5e26\u85aa\u5e74\u5047"", ""\u8282\u65e5\u798f\u5229""]",人力经理,李女士,0,极验,"https://img.bosszhipin.com/beijin/mcs/bar/20191216/88ad1ead57d84dc1876bc2c98022e2debe1bd4a3bd2a63f070bdbdada9aad826.jpg?x-oss-process=image/resize,w_100,limit_0",信息安全,B轮,"[100, 499]",https://www.zhipin.com/job_detail/5e1d7d9c4f72c9b71HR-3t--GVRW.html?lid=2EBrPJKH75C.search.11&securityId=ZppxB5epI9IVI-H1hPEhEyV6h2O5YilOsBN00ihvBIP1Uxz0-v0smgAmGabsp2LVThOA1wYd-TtocpoRcXzlkx4pDvFY5sSdLaadSq3Mb3GeTnK0&sessionId=,https://www.zhipin.com/gongsi/726e816390f84c021XB_3dU~.html,硚口区
