title,address,type,educational,workExperience,workTag,salary,salaryMonth,companyTags,hrWork,hrName,pratice,companyTitle,companyAvatar,companyNature,companyStatus,companyPeople,detailUrl,companyUrl,dist
美菜招聘供应链专员,常州,供应链,高中,经验不限,"[""\u91c7\u8d2d\u5c65\u7ea6"", ""\u4f9b\u5e94\u94fe\u4e13\u5458"", ""\u591c\u73ed""]","[4000, 5000]",0薪,"[""\u4e94\u9669\u4e00\u91d1""]",大区招聘经理,祁女士,0,美菜,"https://img.bosszhipin.com/beijin/mcs/chatphoto/20210121/8fb6313906856cdb0d7266000988ff2a727e7e8e34a037604db8e4ba9030afc5_s.jpg?x-oss-process=image/resize,w_100,limit_0",电子商务,D轮及以上,"[0, 10000]",https://www.zhipin.com/job_detail/76bcb606c5aa1eed1HR63d20FlZQ.html?lid=4XjhUUxeuEK.search.1&securityId=fwFq4TFXNuqC5-y1QtDGc2or-yngzXOYvIrOgqpdqFxgRd54fHV-EbMnWl2p9vJm5n-tawiMvIZLi_mwKFBoZ5H9DlFGatGiDe7Orph5l5VohVvrW-o~&sessionId=,https://www.zhipin.com/gongsi/308b65efbdf6400a1nd92N-8ElM~.html,新北区
正沃投资管理有限公司招聘供应链经理,济南,供应链,大专,1-3年,"[""\u751f\u4ea7\u5236\u9020\u578b\u4f01\u4e1a"", ""\u5e93\u5b58\u7ba1\u7406"", ""\u751f\u9c9c""]","[10000, 15000]",0薪,无,人事专员,唐女士,0,正沃投资管理有限公司,"https://img.bosszhipin.com/beijin/app/mobile/normal-0e3f1e4441a21d4874cece3a3d81f0fe.png?x-oss-process=image/resize,w_100,limit_0",食品/饮料/烟酒,未融资,"[100, 499]",https://www.zhipin.com/job_detail/61d953dd3b4e4c751XJy2t21GVNQ.html?lid=4XjhUUxeuEK.search.2&securityId=vXumFNRzMSc5K-B1oI5EhRMGe7MmUYHt39JFZJHY_PMsqLkXzqvaPzJwzL-QerhqN9NaKrEZvrCo4wcV44r4LlaxLmLHyDnDl8rk4E8enQqzKzZPUKc~&sessionId=,https://www.zhipin.com/gongsi/5f419cd882b1b42e1n143Ny0ElQ~.html,
御梵企业招聘供应链专员,苏州,供应链,大专,1-3年,"[""\u7535\u5546\u884c\u4e1a\u7ecf\u9a8c"", ""\u719f\u7ec3\u4f7f\u7528ERP\u7cfb\u7edf"", ""\u6570\u636e\u5206\u6790\u80fd\u529b""]","[6000, 8000]",0薪,"[""\u5e74\u7ec8\u5956"", ""\u5e26\u85aa\u5e74\u5047"", ""\u5458\u5de5\u65c5\u6e38"", ""\u9910\u8865"", ""\u4e94\u9669""]",招聘经理,金女士,0,御梵企业,"https://img.bosszhipin.com/beijin/upload/com/workfeel/20210526/374babaf7967155fb2bd86fe7cfb44e27cee71f6e71d22f6747ef809c48fcd23.jpg?x-oss-process=image/resize,w_100,limit_0",日化,B轮,"[100, 499]",https://www.zhipin.com/job_detail/cc0d7a6562fbaffb1Hdy2N-9F1BX.html?lid=4XjhUUxeuEK.search.3&securityId=kjadQUOfLfTzH-B1K_1-ggfdyxJYO1TXPjLAItCASAHZNT7Q8SxoJOyiWh6QP0Aq_ovnOtKGWGMXqKTFzav65uoJArYE1GczIoFKD989T_btWpBinqU~&sessionId=,https://www.zhipin.com/gongsi/0951d4111968f1e41nBz3Nq_ElE~.html,相城区
昌立信息招聘供应链专员,杭州,供应链,大专,1-3年,"[""\u9910\u8865"", ""\u5355\u4f4d\u4f53\u68c0""]","[6000, 8000]",0薪,"[""\u96f6\u98df\u4e0b\u5348\u8336"", ""\u5168\u52e4\u5956"", ""\u4fdd\u5e95\u5de5\u8d44"", ""\u793e\u4fdd"", ""\u751f\u65e5\u798f\u5229"", ""\u5e26\u85aa\u5e74\u5047"", ""\u5b9a\u671f\u4f53\u68c0"", ""\u8282\u65e5\u798f\u5229"", ""\u7ee9\u6548\u5956\u91d1"", ""\u5e74\u7ec8\u5956"", ""\u9910\u8865"", ""\u56e2\u5efa\u805a\u9910""]",人事行政经理,沈女士,0,昌立信息,"https://img.bosszhipin.com/beijin/mcs/chatphoto/20210324/5e7b3432edeac8363f8a8f42f164e73605f76038327727b6e858de8624f053ec_s.jpg?x-oss-process=image/resize,w_100,limit_0",电子商务,不需要融资,"[100, 499]",https://www.zhipin.com/job_detail/81388349904941481XV90t24GVtW.html?lid=4XjhUUxeuEK.search.4&securityId=8fnYDkskZfunS-d1qhzKRGMh-r47EsRasGdEvxvHW6DLcUH37AFu_0HZVSe3CYSHGjgr-nZ4R7Rtwf7HYpzUgvRTV-vkVal-ZtnSvNsZHC10jWLN&sessionId=,https://www.zhipin.com/gongsi/7db30f6d69c9339203x_29m4.html,滨江区
长帆国际物流招聘供应链专员,中山,供应链,本科,1年以内,"[""\u4e09\u65b9\u7269\u6d41\u4f01\u4e1a"", ""\u8fdb\u51fa\u53e3\u7269\u6d41\u5de5\u4f5c\u7ecf\u9a8c""]","[4000, 8000]",0薪,"[""\u5458\u5de5\u65c5\u6e38"", ""\u8282\u65e5\u798f\u5229"", ""\u5e95\u85aa\u52a0\u63d0\u6210"", ""\u56e2\u5efa\u805a\u9910"", ""\u7ee9\u6548\u5956\u91d1"", ""\u5b9a\u671f\u4f53\u68c0"", ""\u6709\u65e0\u7ebf\u7f51"", ""\u5168\u52e4\u5956"", ""\u4e94\u9669\u4e00\u91d1"", ""\u5e26\u85aa\u5e74\u5047"", ""\u4fdd\u5e95\u5de5\u8d44"", ""\u96f6\u98df\u4e0b\u5348\u8336"", ""\u751f\u65e5\u798f\u5229"", ""\u6cd5\u5b9a\u8282\u5047\u65e5\u4e09\u85aa""]",经理,刘女士,0,长帆国际物流,"https://img.bosszhipin.com/beijin/upload/com/workfeel/20231204/7bf6f160950405e9cfe2ba9d558d35e481ffd79ca12a96ac0abbbabaf5d26b5fe9792c8c790f75b1.png.webp?x-oss-process=image/resize,w_100,limit_0",进出口贸易,未融资,"[1000, 9999]",https://www.zhipin.com/job_detail/bfee92c4adaa91b91XF_3d21ElZX.html?lid=4XjhUUxeuEK.search.5&securityId=ZSn92M9DkhLEt-i1Z7lFiZcatNhIMtNxGTrXKN9ykDkJAgAz0Ky5Tulrvig9UHNYH8gpip_cC7AljiKtIhjBipi3IDhdkm8jvIEjmq-mrR8iTRSbRJYT&sessionId=,https://www.zhipin.com/gongsi/c4b9b473f6e449ce1nF_2tu0E1c~.html,东区街道
鸿兴兄弟肉品商行招聘供应链专员,乌鲁木齐,供应链,学历不限,经验不限,"[""\u4e2d\u5927\u578b\u4f9b\u5e94\u94fe\u7ba1\u7406\u7ecf\u9a8c"", ""\u4e09\u65b9\u7269\u6d41\u4f01\u4e1a"", ""\u5373\u65f6\u914d\u9001""]","[5000, 6000]",0薪,无,招聘者,张先生,0,鸿兴兄弟肉品商行,"https://img.bosszhipin.com/beijin/icon/894ce6fa7e58d64d57e7f22d2f3a9d18afa7fcceaa24b8ea28f56f1bb14732c0.png?x-oss-process=image/resize,w_100,limit_0",食品/饮料/烟酒,未融资,"[0, 20]",https://www.zhipin.com/job_detail/08925a025c55e0d51Xdz09y9FFdX.html?lid=4XjhUUxeuEK.search.6&securityId=IAmjAV2coJMMH-C1opxUX4lIas3Q1N6-_aOc1SYrOCxVt862ecneYxt9K3f4Vjqv0lI7dqN03bOPcYpPUXmQG04g1Cdsvc2SotJFbQ2m_B05KXSPtYs~&sessionId=,https://www.zhipin.com/gongsi/099991278e10536e0H1-3Ny4EA~~.html,
増彩网络招聘供应链专员,徐州,供应链,大专,经验不限,"[""\u4f9b\u5e94\u5546\u7ba1\u7406"", ""\u7269\u6d41\u7ba1\u7406"", ""\u5e93\u5b58\u7ba1\u7406"", ""\u8d27\u8fd0\u65b9\u6848\u5236\u5b9a"", ""\u7269\u6d41\u914d\u9001"", """"]","[4000, 6000]",0薪,"[""\u5e26\u85aa\u5e74\u5047"", ""\u8282\u65e5\u798f\u5229"", ""\u9910\u8865"", ""\u5305\u5403"", ""\u96f6\u98df\u4e0b\u5348\u8336""]",行政,张女士,0,増彩网络,"https://img.bosszhipin.com/beijin/upload/com/logo/20200315/648a0a0ee682db753011d82d21b20c826d4730fefd37b7b847e6c2adc6cba957.png?x-oss-process=image/resize,w_100,limit_0",新零售,未融资,"[20, 99]",https://www.zhipin.com/job_detail/15f0249cec329d4c0H1639-5GFQ~.html?lid=4XjhUUxeuEK.search.7&securityId=tyqDhvP0QOc8K-u1vLTa8ZxuTZxcTh2KwdklK263y0m5l46uxZGBpFm6Cy1g9lnWEaeK5quL0N84xULYFRDZGM81n9y_s9WyFRd8NoZ7PV95DVxy&sessionId=,https://www.zhipin.com/gongsi/f30cfb9bfc4f436203Z70926GQ~~.html,铜山区
阿里巴巴集团招聘供应链专员,杭州,供应链,本科,3-5年,"[""\u4e09\u65b9\u7269\u6d41\u4f01\u4e1a"", ""\u4f9b\u5e94\u94fe\u80cc\u666f"", ""\u5feb\u6d88\u884c\u4e1a"", ""\u96f6\u552e\u884c\u4e1a""]","[15000, 25000]",16薪,"[""\u96f6\u98df\u4e0b\u5348\u8336"", ""\u8865\u5145\u533b\u7597\u4fdd\u9669"", ""\u4ea4\u901a\u8865\u52a9"", ""\u5458\u5de5\u65c5\u6e38"", ""\u5e74\u7ec8\u5956"", ""\u9910\u8865"", ""\u4e94\u9669\u4e00\u91d1"", ""\u80a1\u7968\u671f\u6743"", ""\u8282\u65e5\u798f\u5229"", ""\u514d\u8d39\u73ed\u8f66""]",HR,林女士,0,阿里巴巴集团,"https://img.bosszhipin.com/beijin/upload/com/workfeel/20220316/7bf6f160950405e9282fe33181a1523803562870c4e2cc4a242ac4eb7bbd10d1694083156ab76fdb.jpg?x-oss-process=image/resize,w_100,limit_0",互联网,已上市,"[0, 10000]",https://www.zhipin.com/job_detail/e1a5db78b1daa4d11HR_0t68EFNQ.html?lid=4XjhUUxeuEK.search.8&securityId=KyWulhlCQcAM5-F1BxduaW-qHIlGa8X5oqEKl1otMV11ZMlzZ8mPuStXcWGHKEeBgLMjzpIJbF07sDsZXO0FtSH9UQlH1VSjoxT84DIzvDAF&sessionId=,https://www.zhipin.com/gongsi/5d627415a46b4a750nJ9.html,余杭区
速立扬招聘供应链经理,南京,供应链,大专,经验不限,"[""\u751f\u4ea7\u5236\u9020\u578b\u4f01\u4e1a"", ""\u5e93\u5b58\u7ba1\u7406"", ""\u91c7\u8d2d"", ""\u7269\u6d41\u8fd0\u8f93"", ""\u533b\u836f"", ""\u98df\u54c1"", """", """", """", """"]","[4000, 5000]",0薪,"[""\u7ee9\u6548\u5956\u91d1"", ""\u4e94\u9669\u4e00\u91d1"", ""\u52a0\u73ed\u8865\u52a9"", ""\u4fdd\u5e95\u5de5\u8d44"", ""\u5e95\u85aa\u52a0\u63d0\u6210"", ""\u5e74\u7ec8\u5956""]",总经理,宣先生,0,速立扬,"https://img.bosszhipin.com/beijin/icon/894ce6fa7e58d64d57e7f22d2f3a9d18afa7fcceaa24b8ea28f56f1bb14732c0.png?x-oss-process=image/resize,w_100,limit_0",电子商务,未融资,"[20, 99]",https://www.zhipin.com/job_detail/52d3ded4e7042b011HR80ti1F1VX.html?lid=4XjhUUxeuEK.search.9&securityId=PJGukiavByUCi-H10jzmuC4dDUY-ZYYZ9ZmlzMjwZoKKpEyN5SWsZ0PuR4amDDXHdHGRSU7rBTYUid3r_vtF25MfstwQNQ125_SXmAUXKXdqpPLt3-ZU&sessionId=,https://www.zhipin.com/gongsi/5521300137704de81Xx93tu8Fls~.html,江宁区
京东集团招聘供应链经理,北京,供应链,本科,3-5年,"[""\u7535\u5546\u884c\u4e1a\u7ecf\u9a8c""]","[12000, 20000]",14薪,"[""\u5b9a\u671f\u4f53\u68c0"", ""\u8282\u65e5\u798f\u5229"", ""\u80a1\u7968\u671f\u6743"", ""\u96f6\u98df\u4e0b\u5348\u8336"", ""\u4ea4\u901a\u8865\u52a9"", ""\u4e94\u9669\u4e00\u91d1"", ""\u5e74\u7ec8\u5956"", ""\u514d\u8d39\u73ed\u8f66"", ""\u9910\u8865"", ""\u5e26\u85aa\u5e74\u5047"", ""\u5305\u5403"", ""\u5458\u5de5\u65c5\u6e38"", ""\u8865\u5145\u533b\u7597\u4fdd\u9669""]",招聘者,韩女士,0,京东集团,"https://img.bosszhipin.com/beijin/mcs/bar/20191129/3cdf5ba2149e309b38868b62ae9c22cabe1bd4a3bd2a63f070bdbdada9aad826.jpg?x-oss-process=image/resize,w_100,limit_0",电子商务,已上市,"[0, 10000]",https://www.zhipin.com/job_detail/6c8bcd644c33a5831HZ_2tS5E1BX.html?lid=4XjhUUxeuEK.search.10&securityId=Y9ELw1yEL07mw-w1gYCu9v9GeQfGftaNRMXBidaYgoytQ8YXAJDrN1yfAjAbz8FvLIXZdjMA6srMev9poTYV17aLsZzlEn2Ee3HpGrt8uiyq35ap&sessionId=,https://www.zhipin.com/gongsi/33e052361693f8371nF-3d25.html,
